trp_multiplayer_profile_troop_male|multiplayer profile troop male{***}
trp_gekokujo_oda_spearman_pl|藤 堂 足 轻 
trp_gekokujo_oda_skirmisher|藤 堂 射 手 足 轻 
trp_gekokujo_oda_skirmisher_pl|藤 堂 射 手 足 轻 
trp_gekokujo_oda_trained_spearman|藤 堂 熟 练 足 轻 
trp_gekokujo_oda_trained_spearman_pl|藤 堂 熟 练 足 轻 
trp_gekokujo_oda_trained_skirmisher|藤 堂 熟 练 射 手 足 轻 
trp_gekokujo_oda_trained_skirmisher_pl|藤 堂 熟 练 射 手 足 轻 
trp_gekokujo_oda_veteran_spearman|山 崎 関 門 足 轻 队
trp_gekokujo_oda_veteran_spearman_pl|山 崎 関 門 足 轻 队
trp_gekokujo_oda_veteran_skirmisher|藤 堂 资 深 射 手 足 轻 
trp_gekokujo_oda_veteran_skirmisher_pl|藤 堂 资 深 射 手 足 轻 
trp_gekokujo_oda_elite_skirmisher|藤 堂  伊 贺 流 忍 者 
trp_gekokujo_oda_elite_skirmisher_pl|藤 堂  伊 贺 流 忍 者 
trp_gekokujo_mori_villager|长 州 农 兵
trp_gekokujo_mori_villager_pl|长 州 农 兵
trp_gekokujo_mori_spearman|长 州 藩 兵
trp_gekokujo_mori_spearman_pl|长 州 藩 兵
trp_gekokujo_mori_skirmisher|长 州 足 轻 铁 炮 组  
trp_gekokujo_mori_skirmisher_pl|长 州 足 轻 铁 炮 组  
trp_gekokujo_mori_trained_spearman|长 州 佩 刀 藩 兵
trp_gekokujo_mori_trained_spearman_pl|长 州 佩 刀 藩 兵
trp_gekokujo_mori_trained_skirmisher|长 州 应 征 步 兵
trp_gekokujo_mori_trained_skirmisher_pl|长 州 应 征 步 兵
trp_gekokujo_mori_veteran_spearman|长 州 屠 勇 队
trp_gekokujo_mori_veteran_spearman_pl|长 州 屠 勇 队
trp_gekokujo_mori_veteran_skirmisher|长 州 线 列 步 兵 
trp_gekokujo_mori_veteran_skirmisher_pl|长 州 线 列 步 兵 
trp_gekokujo_mori_elite_spearman|长 州 奇 兵 队 
trp_gekokujo_mori_elite_spearman_pl|长 州 奇 兵 队 
trp_gekokujo_takeda_villager|福 井 民 兵 
trp_gekokujo_takeda_villager_pl|福 井 民 兵 
trp_gekokujo_takeda_spearman|福 井 足 轻 
trp_gekokujo_takeda_spearman_pl|福 井 足 轻 
trp_gekokujo_takeda_skirmisher|福 井 足 轻 铁 炮 组  
trp_gekokujo_takeda_skirmisher_pl|福 井 足 轻 铁 炮 组  
trp_gekokujo_takeda_trained_spearman|福 井 枪 足 轻 
trp_gekokujo_takeda_trained_spearman_pl|福 井 枪 足 轻 
trp_gekokujo_takeda_trained_skirmisher|福 井 徒 士 铁 炮 组 
trp_gekokujo_takeda_trained_skirmisher_pl|福 井 徒 士 铁 炮 组  
trp_gekokujo_takeda_veteran_spearman|福 井 枪 徒 士 
trp_gekokujo_takeda_veteran_spearman_pl|福 井 枪 徒 士  
trp_gekokujo_takeda_veteran_skirmisher|福 井 足 轻 铁 炮 众
trp_gekokujo_takeda_veteran_skirmisher_pl|福 井 足 轻 铁 炮 众 
trp_gekokujo_takeda_elite_spearman|越 前 义 勇 队 足 轻
trp_gekokujo_takeda_elite_spearman_pl|越 前 义 勇 队 足 轻 
trp_gekokujo_tokugawa_villager|江 户 农 兵 
trp_gekokujo_tokugawa_villager_pl|江 户 农 兵 
trp_gekokujo_tokugawa_spearman|江 户 应 征 枪 兵
trp_gekokujo_tokugawa_spearman_pl|江 户 应 征 枪 兵
trp_gekokujo_tokugawa_skirmisher|江 户 足 轻 铁 炮 组 
trp_gekokujo_tokugawa_skirmisher_pl|江 户 足 轻 铁 炮 组 
trp_gekokujo_tokugawa_trained_spearman|幕 府 枪 徒 士
trp_gekokujo_tokugawa_trained_spearman_pl|幕 府 枪 徒 士
trp_gekokujo_tokugawa_trained_skirmisher|幕 府 应 征 步 兵 
trp_gekokujo_tokugawa_trained_skirmisher_pl|幕 府 应 征 步 兵 
trp_gekokujo_tokugawa_veteran_spearman|德 川 资 深 足 轻 
trp_gekokujo_tokugawa_veteran_spearman_pl|德 川 资 深 足 轻 
trp_gekokujo_tokugawa_veteran_skirmisher|幕 府 联 队 新 兵 
trp_gekokujo_tokugawa_veteran_skirmisher_pl|幕 府 联 队 新 兵 
trp_gekokujo_tokugawa_elite_skirmisher|幕 府 联 队 步 兵
trp_gekokujo_tokugawa_elite_skirmisher_pl|幕 府 联 队 步 兵
trp_gekokujo_miyoshi_villager|纪 州 民 兵 
trp_gekokujo_miyoshi_villager_pl|纪 州 民 兵 
trp_gekokujo_miyoshi_spearman|纪 州 足 轻 
trp_gekokujo_miyoshi_spearman_pl|纪 州 足 轻 
trp_gekokujo_miyoshi_skirmisher|纪 州 射 手 足 轻 
trp_gekokujo_miyoshi_skirmisher_pl|纪 州 射 手 足 轻 
trp_gekokujo_miyoshi_trained_spearman|纪 州 熟 练 足 轻 
trp_gekokujo_miyoshi_trained_spearman_pl|纪 州 熟 练 足 轻 
trp_gekokujo_miyoshi_trained_skirmisher|纪 州 熟 练 射 手 足 轻 
trp_gekokujo_miyoshi_trained_skirmisher_pl|纪 州 熟 练 射 手 足 轻 
trp_gekokujo_miyoshi_veteran_spearman|纪 州 资 深 足 轻 
trp_gekokujo_miyoshi_veteran_spearman_pl|纪 州 资 深 足 轻 
trp_gekokujo_miyoshi_veteran_skirmisher|纪 州 资 深 射 手 足 轻 
trp_gekokujo_miyoshi_veteran_skirmisher_pl|纪 州 资 深 射 手 足 轻 
trp_gekokujo_miyoshi_elite_spearman|纪 州 精 锐 足 轻 
trp_gekokujo_miyoshi_elite_spearman_pl|纪 州 精 锐 足 轻 
trp_gekokujo_amako_villager|鸟 取 民 兵 
trp_gekokujo_amako_villager_pl|鸟 取 民 兵 
trp_gekokujo_amako_spearman|鸟 取 足 轻 
trp_gekokujo_amako_spearman_pl|鸟 取 足 轻 
trp_gekokujo_amako_skirmisher|鸟 取 射 手 足 轻 
trp_gekokujo_amako_skirmisher_pl|鸟 取 射 手 足 轻 
trp_gekokujo_amako_trained_spearman|鸟 取 熟 练 足 轻 
trp_gekokujo_amako_trained_spearman_pl|尼 子熟 练 足 轻
trp_gekokujo_amako_trained_skirmisher|鸟 取 足 轻 铁 炮 组 
trp_gekokujo_amako_trained_skirmisher_pl|鸟 取 足 轻 铁 炮 组   
trp_gekokujo_amako_veteran_spearman|鸟 取 力 士 队 
trp_gekokujo_amako_veteran_spearman_pl|鸟 取 力 士 队 
trp_gekokujo_amako_veteran_skirmisher|鸟 取 徒 士 铁 炮 组 
trp_gekokujo_amako_veteran_skirmisher_pl|鸟 取 徒 士 铁 炮 组 
trp_gekokujo_amako_elite_skirmisher|丹 波 山 国 队 
trp_gekokujo_amako_elite_skirmisher_pl|丹 波 山 国 队 
trp_gekokujo_otomo_villager|福 冈 民 兵 
trp_gekokujo_otomo_villager_pl|福 冈 民 兵 
trp_gekokujo_otomo_spearman|福 冈 足 轻 
trp_gekokujo_otomo_spearman_pl|福 冈 足 轻 
trp_gekokujo_otomo_skirmisher|福 冈 射 手 足 轻 
trp_gekokujo_otomo_skirmisher_pl|福 冈 射 手 足 轻 
trp_gekokujo_otomo_trained_spearman|福 冈 熟 练 足 轻 
trp_gekokujo_otomo_trained_spearman_pl|福 冈 熟 练 足 轻 
trp_gekokujo_otomo_trained_skirmisher|福 冈 足 轻 铁 炮 组 
trp_gekokujo_otomo_trained_skirmisher_pl|福 冈 足 轻 铁 炮 组 
trp_gekokujo_otomo_veteran_spearman|福 冈 资 深 足 轻 
trp_gekokujo_otomo_veteran_spearman_pl|福 冈 资 深 足 轻 
trp_gekokujo_otomo_veteran_skirmisher|福 冈 徒 士 铁 炮 组 
trp_gekokujo_otomo_veteran_skirmisher_pl|福 冈 徒 士 铁 炮 组 
trp_gekokujo_otomo_elite_spearman|福 冈 就 义 队 
trp_gekokujo_otomo_elite_spearman_pl|福 冈 就 义 队 
trp_gekokujo_nanbu_villager|南 部 民 兵 
trp_gekokujo_nanbu_villager_pl|南 部 民 兵 
trp_gekokujo_nanbu_spearman|南 部 足 轻 
trp_gekokujo_nanbu_spearman_pl|南 部 足 轻 
trp_gekokujo_nanbu_skirmisher|南 部 射 手 足 轻 
trp_gekokujo_nanbu_skirmisher_pl|南 部 射 手 足 轻 
trp_gekokujo_nanbu_trained_spearman|南 部 发 机 队 
trp_gekokujo_nanbu_trained_spearman_pl|南 部 发 机 队
trp_gekokujo_nanbu_trained_skirmisher|南 部 足 轻 铁 炮 组 
trp_gekokujo_nanbu_trained_skirmisher_pl|南 部 足 轻 铁 炮 组 
trp_gekokujo_nanbu_veteran_spearman|南 部 乌 蛇 队 
trp_gekokujo_nanbu_veteran_spearman_pl|南 部 乌 蛇 队 
trp_gekokujo_nanbu_veteran_skirmisher|南 部 应 征 步 兵
trp_gekokujo_nanbu_veteran_skirmisher_pl|南 部 应 征 步 兵
trp_gekokujo_nanbu_elite_skirmisher|南 部 铳 队 士 
trp_gekokujo_nanbu_elite_skirmisher_pl|南 部 铳 队 士 
trp_gekokujo_asakura_villager|桑 名 农 兵 
trp_gekokujo_asakura_villager_pl|桑 名 农 兵 
trp_gekokujo_asakura_spearman|桑 名 足 轻 
trp_gekokujo_asakura_spearman_pl|桑 名 足 轻 
trp_gekokujo_asakura_skirmisher|桑 名 足 轻 铁 炮 组  
trp_gekokujo_asakura_skirmisher_pl|桑 名 足 轻 铁 炮 组  
trp_gekokujo_asakura_trained_spearman|桑 名 枪 徒 士 
trp_gekokujo_asakura_trained_spearman_pl|桑 名 枪 徒 士 
trp_gekokujo_asakura_trained_skirmisher|桑 名 徒 士 铁 炮 组 
trp_gekokujo_asakura_trained_skirmisher_pl|桑 名 徒 士 铁 炮 组 
trp_gekokujo_asakura_veteran_spearman|桑 名 资 深 枪 徒 士 
trp_gekokujo_asakura_veteran_spearman_pl|桑 名 资 深 枪 徒 士 
trp_gekokujo_asakura_veteran_skirmisher|桑 名 铳 队 士 
trp_gekokujo_asakura_veteran_skirmisher_pl|桑 名 铳 队 士 
trp_gekokujo_asakura_elite_spearman|桑 名 衝 鋒 队
trp_gekokujo_asakura_elite_spearman_pl|桑 名 衝 鋒 队
trp_gekokujo_chosokabe_villager|土 佐 藩 农 兵 
trp_gekokujo_chosokabe_villager_pl|土 佐 藩 农 兵 
trp_gekokujo_chosokabe_spearman|土 佐 藩 枪 队 
trp_gekokujo_chosokabe_spearman_pl|土 佐 藩 枪 队 
trp_gekokujo_chosokabe_skirmisher|土 佐 藩 足 轻 铁 炮 组  
trp_gekokujo_chosokabe_skirmisher_pl|土 佐 藩 足 轻 铁 炮 组  
trp_gekokujo_chosokabe_trained_spearman|土 佐 枪 徒 士 
trp_gekokujo_chosokabe_trained_spearman_pl|土 佐 枪 徒 士 
trp_gekokujo_chosokabe_trained_skirmisher|土 佐 藩 应 征 步 兵 
trp_gekokujo_chosokabe_trained_skirmisher_pl|土 佐 藩 应 征 步 兵 
trp_gekokujo_chosokabe_veteran_spearman|土 佐 陆 援 队 
trp_gekokujo_chosokabe_veteran_spearman_pl|土 佐 陆 援 队 
trp_gekokujo_chosokabe_veteran_skirmisher|土 佐 藩 线 列 步 兵 
trp_gekokujo_chosokabe_veteran_skirmisher_pl|土 佐 藩 线 列 步 兵 
trp_gekokujo_chosokabe_elite_skirmisher|土 佐 迅 冲 队 
trp_gekokujo_chosokabe_elite_skirmisher_pl|土 佐 迅 冲 队 
trp_gekokujo_hojo_villager|广 岛  民 兵 
trp_gekokujo_hojo_villager_pl|广 岛  民 兵 
trp_gekokujo_hojo_spearman|广 岛  足 轻 
trp_gekokujo_hojo_spearman_pl|广 岛  足 轻 
trp_gekokujo_hojo_skirmisher|广 岛  射 手 足 轻 
trp_gekokujo_hojo_skirmisher_pl|广 岛  射 手 足 轻 
trp_gekokujo_hojo_trained_spearman|广 岛  熟 练 足 轻 
trp_gekokujo_hojo_trained_spearman_pl|广 岛  熟 练 足 轻 
trp_gekokujo_hojo_trained_skirmisher|广 岛 铁 炮 足 轻 
trp_gekokujo_hojo_trained_skirmisher_pl|广 岛 铁 炮 足 轻 
trp_gekokujo_hojo_veteran_spearman|广 岛 奏 勇 队 
trp_gekokujo_hojo_veteran_spearman_pl|广 岛 奏 勇 队 
trp_gekokujo_hojo_veteran_skirmisher|广 岛 铁 炮 徒 士 
trp_gekokujo_hojo_veteran_skirmisher_pl| 广 岛 铁 炮 徒 士 
trp_gekokujo_hojo_elite_spearman|广 岛 应 变 队  
trp_gekokujo_hojo_elite_spearman_pl|广 岛 应 变 队 
trp_gekokujo_mogami_villager|米 泽 农 兵
trp_gekokujo_mogami_villager_pl|米 泽 农 兵 
trp_gekokujo_mogami_spearman|米 泽 足 轻 
trp_gekokujo_mogami_spearman_pl|米 泽 足 轻 
trp_gekokujo_mogami_skirmisher|米 泽 铁 炮 农 兵 
trp_gekokujo_mogami_skirmisher_pl|米 泽 铁 炮 农 兵
trp_gekokujo_mogami_trained_spearman|米 泽 有 志 队   
trp_gekokujo_mogami_trained_spearman_pl|米 泽 有 志 队  
trp_gekokujo_mogami_trained_skirmisher|米 泽 足 轻 铁 炮 组 
trp_gekokujo_mogami_trained_skirmisher_pl|米 泽 足 轻 铁 炮 组  
trp_gekokujo_mogami_veteran_spearman|米 泽 剛 士 队 
trp_gekokujo_mogami_veteran_spearman_pl|米 泽 剛 士 队  
trp_gekokujo_mogami_veteran_skirmisher|米 泽 应 征 步 兵  
trp_gekokujo_mogami_veteran_skirmisher_pl|米 泽 应 征 步 兵
trp_gekokujo_mogami_elite_skirmisher|米 泽 和 銃 队
trp_gekokujo_mogami_elite_skirmisher_pl|米 泽 和 銃 队  
trp_gekokujo_shimazu_villager|萨 摩 农 兵 
trp_gekokujo_shimazu_villager_pl|萨 摩 农 兵 
trp_gekokujo_shimazu_spearman|萨 摩 枪 兵
trp_gekokujo_shimazu_spearman_pl|萨 摩 枪 兵
trp_gekokujo_shimazu_skirmisher|萨 摩 足 轻 铁 炮 组  
trp_gekokujo_shimazu_skirmisher_pl|萨 摩 足 轻 铁 炮 组  
trp_gekokujo_shimazu_trained_spearman|萨 摩 示 显 流 刀 队
trp_gekokujo_shimazu_trained_spearman_pl|萨 摩 示 显 流 刀 队
trp_gekokujo_shimazu_trained_skirmisher|萨 摩 乡 中 铳 队 
trp_gekokujo_shimazu_trained_skirmisher_pl|萨 摩 乡 中 铳 队 
trp_gekokujo_shimazu_veteran_spearman|岛 津 资 深 足 轻 
trp_gekokujo_shimazu_veteran_spearman_pl|岛 津 资 深 足 轻 
trp_gekokujo_shimazu_veteran_skirmisher|萨 摩 线 列 步 兵
trp_gekokujo_shimazu_veteran_skirmisher_pl|萨 摩 线 列 步 兵
trp_gekokujo_shimazu_elite_spearman|萨 摩 示 显 流 军 官
trp_gekokujo_shimazu_elite_spearman_pl|萨 摩 示 显 流 军 官
trp_gekokujo_ryuzoji_villager|佐 贺 铁 炮 农 兵
trp_gekokujo_ryuzoji_villager_pl|佐 贺 铁 炮 农 兵
trp_gekokujo_ryuzoji_spearman|佐 贺 足 轻 
trp_gekokujo_ryuzoji_spearman_pl|佐 贺 足 轻 
trp_gekokujo_ryuzoji_skirmisher|佐 贺 应 征 步 兵 
trp_gekokujo_ryuzoji_skirmisher_pl|佐 贺 应 征 步 兵 
trp_gekokujo_ryuzoji_trained_spearman|佐 贺 熟 练 足 轻 
trp_gekokujo_ryuzoji_trained_spearman_pl|佐 贺 熟 练 足 轻 
trp_gekokujo_ryuzoji_trained_skirmisher|佐 贺 荷 训 步 兵
trp_gekokujo_ryuzoji_trained_skirmisher_pl|佐 贺 荷 训 步 兵
trp_gekokujo_ryuzoji_veteran_spearman|佐 贺 手 明 枪 队 
trp_gekokujo_ryuzoji_veteran_spearman_pl|佐 贺 手 明 枪 队 
trp_gekokujo_ryuzoji_veteran_skirmisher|佐 贺 铳 队 士
trp_gekokujo_ryuzoji_veteran_skirmisher_pl|佐 贺 铳 队 士
trp_gekokujo_ryuzoji_elite_skirmisher|佐 贺 西 式 常 备 步 兵 队 
trp_gekokujo_ryuzoji_elite_skirmisher_pl|佐 贺 西 式 常 备 步 兵 队 
trp_gekokujo_satake_villager|水 户 民 兵 
trp_gekokujo_satake_villager_pl|水 户 民 兵 
trp_gekokujo_satake_spearman|水 户 足 轻 
trp_gekokujo_satake_spearman_pl|水 户 足 轻 
trp_gekokujo_satake_skirmisher|水 户 射 手 足 轻 
trp_gekokujo_satake_skirmisher_pl|水 户 射 手 足 轻 
trp_gekokujo_satake_trained_spearman|水 户 熟 练 足 轻 
trp_gekokujo_satake_trained_spearman_pl|水 户 熟 练 足 轻 
trp_gekokujo_satake_trained_skirmisher|水 户 熟 练 射 手 足 轻 
trp_gekokujo_satake_trained_skirmisher_pl|水 户 熟 练 射 手 足 轻 
trp_gekokujo_satake_veteran_spearman|水 户 诸 生 军
trp_gekokujo_satake_veteran_spearman_pl|水 户 诸 生 军
trp_gekokujo_satake_veteran_skirmisher|水 户 资 深 射 手 足 轻 
trp_gekokujo_satake_veteran_skirmisher_pl|水 户 资 深 射 手 足 轻 
trp_gekokujo_satake_elite_spearman|水 户 志 诚 队  
trp_gekokujo_satake_elite_spearman_pl|水 户 志 诚 队  
trp_gekokujo_satomi_villager|长 冈 农 兵 
trp_gekokujo_satomi_villager_pl|长 冈 农 兵 
trp_gekokujo_satomi_spearman|长 冈 足 轻
trp_gekokujo_satomi_spearman_pl|长 冈 足 轻
trp_gekokujo_satomi_skirmisher|长 冈 足 轻 铁 炮 组   
trp_gekokujo_satomi_skirmisher_pl|长 冈 足 轻 铁 炮 组   
trp_gekokujo_satomi_trained_spearman|长 冈 熟 练 足 轻 
trp_gekokujo_satomi_trained_spearman_pl|长 冈 熟 练 足 轻 
trp_gekokujo_satomi_trained_skirmisher|长 冈 应 征 步 兵 
trp_gekokujo_satomi_trained_skirmisher_pl|长 冈 应 征 步 兵 
trp_gekokujo_satomi_veteran_spearman|长 冈 侦 察 队 
trp_gekokujo_satomi_veteran_spearman_pl|长 冈 侦 察 队 
trp_gekokujo_satomi_veteran_skirmisher|长 冈 线 列 步 兵 
trp_gekokujo_satomi_veteran_skirmisher_pl|长 冈 线 列 步 兵 
trp_gekokujo_satomi_elite_skirmisher|长 冈 法 式 新 军 
trp_gekokujo_satomi_elite_skirmisher_pl|长 冈 法 式 新 军 
trp_gekokujo_ukita_villager|冈 山 农 兵 
trp_gekokujo_ukita_villager_pl|冈 山 农 兵 
trp_gekokujo_ukita_spearman|冈 山 足 轻 
trp_gekokujo_ukita_spearman_pl|冈 山 足 轻 
trp_gekokujo_ukita_skirmisher|冈 山 足 轻 铁 炮 组  
trp_gekokujo_ukita_skirmisher_pl|冈 山 足 轻 铁 炮 组  
trp_gekokujo_ukita_trained_spearman|冈 山 游 奇 隊
trp_gekokujo_ukita_trained_spearman_pl|冈 山 游 奇 隊
trp_gekokujo_ukita_trained_skirmisher|冈 山 徒 士 铁 炮 组 
trp_gekokujo_ukita_trained_skirmisher_pl|冈 山 徒 士 铁 炮 组 
trp_gekokujo_ukita_veteran_spearman|冈 山 電 擊 队
trp_gekokujo_ukita_veteran_spearman_pl|冈 山 電 擊 队
trp_gekokujo_ukita_veteran_skirmisher|冈 山 游 擊 隊
trp_gekokujo_ukita_veteran_skirmisher_pl|冈 山 游 擊 隊
trp_gekokujo_ukita_elite_spearman|冈 山 耕 战 队 
trp_gekokujo_ukita_elite_spearman_pl|冈 山 耕 战 队 
trp_gekokujo_ukita_elite_spearman|冈 山 耕 战 队 
trp_gekokujo_ukita_elite_spearman_pl|冈 山 耕 战 队 
trp_gekokujo_ikko_villager|加 贺 民 兵 
trp_gekokujo_ikko_villager_pl|加 贺 民 兵 
trp_gekokujo_ikko_spearman|加 贺 足 轻 
trp_gekokujo_ikko_spearman_pl|加 贺 足 轻 
trp_gekokujo_ikko_skirmisher|加 贺 射 手 足 轻 
trp_gekokujo_ikko_skirmisher_pl|加 贺 射 手 足 轻 
trp_gekokujo_ikko_trained_spearman|加 贺 熟 练 足 轻 
trp_gekokujo_ikko_trained_spearman_pl|加 贺 熟 练 足 轻 
trp_gekokujo_ikko_trained_skirmisher|加 贺 熟 练 射 手 足 轻 
trp_gekokujo_ikko_trained_skirmisher_pl|加 贺 熟 练 射 手 足 轻 
trp_gekokujo_ikko_veteran_spearman|加 贺 资 深 足 轻 
trp_gekokujo_ikko_veteran_spearman_pl|加 贺 资 深 足 轻 
trp_gekokujo_ikko_veteran_skirmisher|加 贺 资 深 射 手 足 轻 
trp_gekokujo_ikko_veteran_skirmisher_pl|加 贺 资 深 射 手 足 轻 
trp_gekokujo_uesugi_jizamurai|会 津 士 中 白 虎 队
trp_gekokujo_uesugi_jizamurai_pl|会 津 士 中 白 虎 队
trp_gekokujo_uesugi_retainer|会 津 藩 藩 士 
trp_gekokujo_uesugi_retainer_pl|会 津 藩 藩 士 
trp_gekokujo_uesugi_marksman|会 津 玄 武 队 铁 炮 手  
trp_gekokujo_uesugi_marksman_pl|会 津 玄 武 队 铁 炮 手  
trp_gekokujo_uesugi_veteran_retainer|会 津 正 奇 队 武 士
trp_gekokujo_uesugi_veteran_retainer_pl|会 津 正 奇 队 武 士
trp_gekokujo_uesugi_mounted_retainer|会 津 马 回 众  
trp_gekokujo_uesugi_mounted_retainer_pl|会 津 马 回 众  
trp_gekokujo_uesugi_samurai_gunner|会 津 青 龙 队 铁 炮 众  
trp_gekokujo_uesugi_samurai_gunner_pl|会 津 青 龙 队 铁 炮 众  
trp_gekokujo_uesugi_samurai_archer|会 津 持 弓 众 
trp_gekokujo_uesugi_samurai_archer_pl|会 津 持 弓 众 
trp_gekokujo_uesugi_officer|会 津 小 姓 番 
trp_gekokujo_uesugi_officer_pl|会 津 小 姓 番 
trp_gekokujo_uesugi_mounted_officer|会 津 母 衣 众 
trp_gekokujo_uesugi_mounted_officer_pl|会 津 母 衣 众 
trp_gekokujo_uesugi_master_gunner|会 津 朱 雀 队 
trp_gekokujo_uesugi_master_gunner_pl|会 津 朱 雀 队 
trp_gekokujo_uesugi_master_archer|会 津 铳 队 士 
